prolific_pid,goal_condition,decision_structure,chosen_question,chose_which_contaminated,chose_which_uncontaminated,base_rate,trial_id,strategy
subj_320,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Well, I need to get rid of those that are contaminated, so I decided to ask about those and hope it would help me figure it out.""}"
subj_290,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I can eliminate the ones that are definitely contaminated.""}"
subj_317,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""Setting the safe bottles to the side will leave a majority of non-safe bottles remaining. As each bottle is tested, eventually you’ll either have the remaining safe bottles set aside or the entire 5 unsafe found. ""}"
subj_106,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I would ask my colleague which vials are not contaminated.  I think it would be more helpful for the colleague to identify which ones did not get contaminated to help me decide which ones should be safe for me to use in my experiments.""}"
subj_090,cont,singleton,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""I need to find out which are contaminated so it seems an obvious choice ""}"
subj_070,cont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I wantes to ask the mist direct and efficient question.""}"
subj_169,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""since there are some limited information about contamination available, I would like to know it, and dispose contaminates""}"
subj_247,cont,set_id,Which vials are contaminated?,TRUE,FALSE,0.5,exp2_trial1,"{""strategy"":""Since he knew some of these I was more apt to get rid of them and see what attributes they had in common to try and figure out the other contaminated ones""}"
subj_324,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""just a guess""}"
subj_311,uncont,set_id,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I can be sure about the vials to include rather than the ones to remove.""}"
subj_221,uncont,singleton,Which vials are not contaminated?,FALSE,TRUE,0.5,exp2_trial1,"{""strategy"":""I thought it was common sense because I need(ed) to know and figure out by the end if the one I pick will be uncontaminated or not.""}"
